,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,img_number,ID,color_id,frame,track,batch,pass,environment,bee_range,filepath,background,reID,color_num
0,0,0,0,0,0,0,76,blue-pink,22847,208,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000208.frame022847.jpg,blue,76,4
1,1,1,1,1,1,1,76,blue-pink,14058,189,2,1.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_1.mp4.mp4.track000189.frame014058.jpg,blue,76,4
2,2,2,2,2,2,2,76,blue-pink,13395,185,2,1.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_1.mp4.mp4.track000185.frame013395.jpg,white,76,4
3,3,3,3,3,3,3,76,blue-pink,13295,185,2,1.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_1.mp4.mp4.track000185.frame013295.jpg,white,76,4
4,4,4,4,4,4,4,80,blue-red,19365,273,2,1.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_1.mp4.mp4.track000273.frame019365.jpg,blue,80,5
5,5,5,5,5,5,5,80,blue-red,30395,292,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000292.frame030395.jpg,blue,80,5
6,6,6,6,6,6,6,80,blue-red,25903,140,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000140.frame025903.jpg,white,80,5
7,7,7,7,7,7,7,80,blue-red,25896,140,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000140.frame025896.jpg,white,80,5
8,8,8,8,8,8,8,77,blue-white,21753,114,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000114.frame021753.jpg,blue,77,6
9,9,9,9,9,9,9,77,blue-white,21650,114,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000114.frame021650.jpg,blue,77,6
10,10,10,10,10,10,10,77,blue-white,23737,215,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000215.frame023737.jpg,white,77,6
11,11,11,11,11,11,11,77,blue-white,21477,109,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000109.frame021477.jpg,white,77,6
12,12,12,12,12,12,12,73,blue-yellow,10273,117,2,1.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_1.mp4.mp4.track000117.frame010273.jpg,blue,73,7
13,13,13,13,13,13,13,73,blue-yellow,10271,117,2,1.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_1.mp4.mp4.track000117.frame010271.jpg,blue,73,7
14,14,14,14,14,14,14,73,blue-yellow,12687,74,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000074.frame012687.jpg,white,73,7
15,15,15,15,15,15,15,73,blue-yellow,11170,58,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000058.frame011170.jpg,white,73,7
16,16,16,16,16,16,16,84,green-pink,25038,347,2,1.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_1.mp4.mp4.track000347.frame025038.jpg,blue,84,12
17,17,17,17,17,17,17,84,green-pink,37217,342,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000342.frame037217.jpg,blue,84,12
18,18,18,18,18,18,18,84,green-pink,24702,343,2,1.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_1.mp4.mp4.track000343.frame024702.jpg,white,84,12
19,19,19,19,19,19,19,84,green-pink,35501,336,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000336.frame035501.jpg,white,84,12
20,20,20,20,20,20,20,88,green-red,30777,415,2,1.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_1.mp4.mp4.track000415.frame030777.jpg,blue,88,13
21,21,21,21,21,21,21,88,green-red,30771,415,2,1.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_1.mp4.mp4.track000415.frame030771.jpg,blue,88,13
22,22,22,22,22,22,22,88,green-red,43963,415,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000415.frame043963.jpg,white,88,13
23,23,23,23,23,23,23,88,green-red,46927,226,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000226.frame046927.jpg,white,88,13
24,24,24,24,24,24,24,85,green-white,42213,211,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000211.frame042213.jpg,blue,85,14
25,25,25,25,25,25,25,85,green-white,42198,211,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000211.frame042198.jpg,blue,85,14
